name,value,category,description
Laptop Pro,1299.99,Electronics,High-performance laptop with 16GB RAM
Wireless Mouse,29.99,Electronics,Ergonomic wireless mouse
Coffee Maker,89.99,Appliances,Automatic coffee maker with timer
Desk Chair,249.99,Furniture,Ergonomic office chair
Monitor 27",399.99,Electronics,4K UHD monitor
Keyboard,79.99,Electronics,Mechanical gaming keyboard
Desk Lamp,45.00,Furniture,LED desk lamp with adjustable brightness
Headphones,199.99,Electronics,Noise-cancelling wireless headphones
Webcam,119.99,Electronics,1080p HD webcam
Standing Desk,549.99,Furniture,Electric adjustable standing desk
